player,rumuoured_club
Edin Dzeko,Chelsea FC
Juan Bernat,Everton FC
Owen Otasowie,Juventus FC
Chicharito,Besiktas JK
W. Ben Yedder,West Ham United
W. Ben Yedder,West Ham United
José Fonte,Wolverhampton Wanderers
João Mário,West Ham United
Emerson,Chelsea FC
Nicolò Barella,Liverpool FC
Nicolò Barella,Manchester United
S. Aziz Ki,Aris Limassol
Nikolay Kipiani,Omonia Nicosia
Suso,Liverpool FC
Michy Batshuayi,Borussia Dortmund
H. Mkhitaryan,Arsenal FC
Henri Saivet,HSC Montpellier
Adam Forshaw,Leeds United
S. Aziz Ki,Aris Limassol
K. Stafylidis,Stoke City
Nikolay Kipiani,Omonia Nicosia
James Maddison,Tottenham Hotspur
Marko Grujic,Cardiff City
Marko Grujic,Middlesbrough FC
Nadiem Amiri,RB Leipzig
M. Dembélé,Southampton FC
L. Krasniqi,SCO Angers
L. Krasniqi,SCO Angers
Sardar Azmoun,West Ham United
Lucas Vázquez,Newcastle United
Xherdan Shaqiri,West Ham United
Andy Carroll,Chelsea FC
Andrew Surman,Brighton &amp;amp; Hove Albion
Tom Cairney,West Bromwich Albion
Michy Batshuayi,Sevilla FC
Nico Gaitán,Swansea City
Kévin Gameiro,Swansea City
Olivier Giroud,Borussia Dortmund
P. Aubameyang,Arsenal FC
V. Koziello,1. FC Köln
K. Rausch,Dinamo Moscow
Cameron Jerome,Derby County
Dominik Kaiser,Hamburger SV
P. Ntep,AS Saint-Étienne
Bouna Sarr,Leicester City
Jason Cummings,Rangers FC
Mathieu Debuchy,AS Saint-Étienne
Richarlison,Arsenal FC
Richarlison,Chelsea FC
Ukra,CSKA Sofia
Mate Males,Dalian Yifang
Alisson,Liverpool FC
Andy Carroll,Chelsea FC
M. Brozovic,Sevilla FC
Lisandro López,Inter Milan
Manuel Akanji,Borussia Dortmund
Úmaro Embaló,RB Leipzig
Chancel Mbemba,West Ham United
B. Bjarnason,Parma Calcio 1913
Martin Terrier,Olympique Lyon
A. Longher,Arsenal FC
Rivaldinho,Levski Sofia
Axel Tuanzebe,Aston Villa
S. Gelias wants,rejoin Lokomotiv Sofia
S. Gelias,Levski Sofia
S. Gelias,CSKA Sofia
Leonardo Sigali,Racing Club de Avellaneda
R. van Persie,Feyenoord Rotterdam
Jack Butland,Liverpool FC
Jamie Vardy,Manchester United
Chicharito,Manchester United
Kevin Strootman,Liverpool FC
Raheem Sterling,Real Madrid
Joe Allen,Celtic FC
Dani Ceballos,Liverpool FC
Adama Soumaoro,Everton FC
A. Prijovic,Stade Rennais FC
Marijan Cavar,HNK Rijeka
Theo Walcott,Everton FC
Justin Kluivert,Manchester United
Neven Subotic,AS Saint-Étienne
Maycon,SSC Napoli
S. Lichtsteiner,AS Roma
Keinan Davis,Brighton &amp;amp; Hove Albion
Chicharito,Los Angeles FC
Badou Ndiaye,Stoke City
Papu Gómez,Liverpool FC
M. Raspopovic,HNK Rijeka
Diafra Sakho,Crystal Palace
Z. Ibrahimovic,Major League Soccer
Chancel Mbemba,Celtic FC
Ben Brereton,Tottenham Hotspur
Leon Bailey,Manchester United
Nico Gaitán,Southampton FC
Rafinha,Inter Milan
Malcom,Tottenham Hotspur
Alfie Mawson,Watford FC
Ryan Kent,Bristol City
Bruno Peres,Brighton &amp;amp; Hove Albion
Daniel Amartey,Aston Villa
Leonardo Ulloa,Aston Villa
Adam Armstrong,Blackburn Rovers
Gerard Deulofeu,Inter Milan
Gerard Deulofeu,Inter Milan
Renato Steffen,VfL Wolfsburg
João Escoval,HNK Rijeka
Nikola Katic,HNK Rijeka
Fred,Manchester City
Lucas,Manchester United
Cristian Pavón,Arsenal FC
Dario Zuparic,VfB Stuttgart
Andy Carroll,Chelsea FC
Alex Telles,Chelsea FC
Ivan Rakitic,Liverpool FC
Ivan Rakitic,Arsenal FC
Florentin Matei,Astra Giurgiu
G. N'Koudou,Burnley FC
L. Dendoncker,West Ham United
Oumar Niasse,West Bromwich Albion
Kiko Casilla,Getafe CF
Ryan Fredericks,Swansea City
Guido Carrillo,Southampton FC
F. Coquelin,Valencia CF
Arda Turan,Medipol Basaksehir
Stiven Mendoza,SC Amiens
Ben Wilmot,Arsenal FC
Ben Wilmot,Liverpool FC
Joe Lumley,Blackpool FC
R. O'Donnell,Northampton Town
Michy Batshuayi,Sevilla FC
J. Clarke-Salter,Sunderland AFC
F. Coquelin,West Ham United
Filip Dangubic,HNK Rijeka
P. van Aanholt,PSV Eindhoven
Vicente Guaita,Crystal Palace
Moussa Marega,Manchester United
Harry Maguire,Manchester City
Mehdi Taremi,Al Gharafa Sports Club
David Luiz,Manchester United
Mehdi Taremi,Al Gharafa Sports Club
Yann M'Vila,AS Saint-Étienne
Lassana Diarra,Paris Saint-Germain
Valentín Vada wants,join CD Leganés
Lucas,FC Nantes
Joe Hart,Newcastle United
Joe Hart,Newcastle United
Jesé,UD Las Palmas
William Rémy,Legia Warszawa
Riyad Mahrez,Liverpool FC
Munas Dabbur,Lokomotiv Moscow
Mousa Dembélé,AC Milan
Mousa Dembélé,Inter Milan
P. Aubameyang,Guangzhou Evergrande Taobao
F. Diabaté,Leicester City
Cristian Pavón,Arsenal FC
Filippo Romagna,Spartak Moscow
Stefano Okaka,Torino FC
Josip Misic,Sporting CP
Filip Bradaric,ACF Fiorentina
Kerem Demirbay,Arsenal FC
Diafra Sakho,Swansea City
Jamie Murphy,Rangers FC
Faouzi Ghoulam,Manchester United
Étienne Capoue,ACF Fiorentina
Olivier Giroud,Fenerbahce SK
Philipp Max,Manchester City
S. Kvirkvelia,Crystal Palace
S. Kvirkvelia,West Bromwich Albion
S. Kvirkvelia,Leicester City
S. Kvirkvelia,Leicester City
Gerard Deulofeu,SSC Napoli
Robbie Keane,Wolverhampton Wanderers
A. Grimaldo,SSC Napoli
Daniele Rugani,Arsenal FC
Daniele Rugani,Manchester United
Luka Capan,HNK Rijeka
Odise Roshi,GNK Dinamo Zagreb
Arda Turan,Everton FC
Yerry Mina,FC Barcelona
Yerry Mina,FC Barcelona
Petar Bockaj,FC Girondins Bordeaux
Samuel Umtiti,Manchester City
Marko Pjaca,FC Schalke 04
Fábio,Botafogo Rio de Janeiro
G. Krychowiak,AS Roma
Alex Pritchard,Huddersfield Town
Étienne Capoue,West Ham United
B. Bialkowski,Crystal Palace
Kortney Hause,Watford FC
Islam Slimani,Besiktas JK
Ibrahim Amadou,Crystal Palace
K. Mavropanos,Arsenal FC
Eduardo,Legia Warszawa
Antonio Colak,HNK Rijeka
Marko Pjaca,RSC Anderlecht
Erdal Rakip,SL Benfica
Josip Misic,AC Sparta Praha
Josh Earl,Liverpool FC
Dior Angus,Port Vale FC
Danny Rowe,Lincoln City
Amin Younes,SSC Napoli
Didier Ndong,Watford FC
G. Krychowiak,Getafe CF
Nicolae Stanciu,AC Sparta Praha
Mesut Özil,Paris Saint-Germain
Adel Taarabt,Sevilla FC
Adel Taarabt,Villarreal CF
Adel Taarabt,Valencia CF
Pepe Reina,Paris Saint-Germain
João Mário,Manchester United
A. Grimaldo,SSC Napoli
Leon Goretzka,Bayern Munich
Pape Souaré,Olympique Marseille
Islam Slimani,Newcastle United
David Luiz,Arsenal FC
Willy Caballero,Free agent
Willy Caballero,Free agent
Úmaro Embaló,Manchester United
A. Baba,ACF Fiorentina
Lucas,Manchester United
Vicente Guaita,Watford FC
Cédric Bakambu,Beijing Sinobo Guoan
Stefan Silva,AIK Solna
Jonjo Shelvey,Newcastle United
Alex Telles,Chelsea FC
Lior Refaelov,Maccabi Tel Aviv
Mateo Kovacic,Manchester United
Andy Yiadom,Swansea City
Ruca,Alki Oroklini
Theo Walcott,Southampton FC
Joe Allen,West Ham United
D. Sturridge,Southampton FC
D. Sturridge,Southampton FC
Ante Erceg,Seattle Sounders FC
Ante Erceg,Seattle Sounders FC
Cameron Jerome,Cardiff City
Gabriel Pires,West Ham United
K. Toko Ekambi,Burnley FC
Darren Bent,Rangers FC
Cenk Tosun,Everton FC
Amin Younes,Stoke City
Ryan Sessegnon,Real Madrid
David Neres,Tottenham Hotspur
Sean Cronin,Wingate &amp;amp; Finchley FC
Claudiu Vilcu,Wingate &amp;amp; Finchley FC
Terence Kongolo,Huddersfield Town
Gerard Gohou,FK Partizan Belgrade
Gareth Bale,Chelsea FC
M. Fellaini,AS Roma
David Neres,Manchester United
Carlton Cole,AFC Wimbledon
Eduardo,HNK Rijeka
M. Elyounoussi,Crystal Palace
Marko Pjaca,Liverpool FC
Medhi Benatia,Arsenal FC
Hirving Lozano,Liverpool FC
T. Konaté,AEL Limassol
Z. Ibrahimovic,Retired
Paulo Dybala,Manchester United
Paulo Dybala,Manchester United
Almamy Touré,Huddersfield Town
Luke Shaw,Watford FC
Federico Chiesa,Liverpool FC
Federico Chiesa,Tottenham Hotspur
Alex Teixeira,Liverpool FC
A. Grimaldo,SSC Napoli
A. Grimaldo,Tottenham Hotspur
Sandro Ramírez wants,rejoin Málaga CF
Alessio Da Cruz,Arsenal FC
Noah Chesmain,Boreham Wood FC
D. Drexler,Wolverhampton Wanderers
Simon Power,Norwich City
Hamdi Nagguez,APOEL Nicosia
Alfie Mawson,Tottenham Hotspur
Milan Skriniar,Manchester City
Daniel Opare,Stoke City
Taison,Manchester City
Bryan Cristante,Manchester United
Kevin Trapp,Liverpool FC
Thiago Mendes,Olympique Marseille
Stefanos Kapino,Bologna FC 1909
Stefanos Kapino,Udinese Calcio
Stefanos Kapino,Nottingham Forest
Stefanos Kapino,Newcastle United
Dani Benítez,Lorca FC
H. Mkhitaryan,Arsenal FC
Daniele Rugani,Arsenal FC
Daniele Rugani,Manchester United
Lamine Sané,AS Saint-Étienne
L. Bonucci,Real Madrid
O. Coulibaly,APOEL Nicosia
Manchester City want,re-sign Mario Balotelli
Artur Boruc,West Ham United
M. Schneiderlin,West Ham United
H. Mkhitaryan,Inter Milan
E. Lavezzi wants,rejoin SSC Napoli
S. Milinkovic-Savic,Paris Saint-Germain
Erik Morán,AEK Athens
Manuel Akanji,Liverpool FC
Dujon Sterling,AFC Bournemouth
Alfie Mawson,West Ham United
Z. Ibrahimovic,Galatasaray SK
A. Schürrle,West Ham United
Sergio Busquets,Manchester City
L. Bonucci,Chelsea FC
Luis Suárez,Tottenham Hotspur
Matteo Darmian,SSC Napoli
Steven N'Zonzi,West Ham United
Jack Colback,Derby County
C. Pulisic,Manchester United
Kevin Mirallas,Galatasaray SK
James Tomkins,Everton FC
Maxwel Cornet,Tottenham Hotspur
Jack Wilshere,Olympique Marseille
J. Seri,Everton FC
J. Seri,Manchester City
J. Seri,Chelsea FC
Glynor Plet,Anorthosis Famagusta
N. Sánchez,AEL Limassol
Domagoj Antolic,Legia Warszawa
Denis Polyakov,APOEL Nicosia
B. Schweinsteiger,Germany
B. Schweinsteiger,Germany
Carlton Cole,AFC Wimbledon
Remi Matthews,Portsmouth FC
Abdou Diallo,Arsenal FC
Zé Luís,Brighton &amp;amp; Hove Albion
Eden Hazard,Manchester United
L. Bonucci,Manchester City
Kevin Toner,St. Patricks Athletic
Marvin Compper,Celtic FC
Milos Bakrac,HNK Rijeka
Josip Elez,Hannover 96
Patito Rodríguez,Newcastle United Jets
H. Mkhitaryan,Borussia Dortmund
Alex Teixeira,Liverpool FC
Aaron Cresswell,Liverpool FC
Guido Carrillo,Crystal Palace
Domingos Quina,Liverpool FC
Wilfried Zaha,Manchester City
H. Mkhitaryan,Juventus FC
David Luiz,Arsenal FC
David Luiz,Arsenal FC
M. Romero,Borussia Dortmund
Stefan de Vrij,Inter Milan
Malcom,Arsenal FC
A. Grimaldo,Tottenham Hotspur
Ante Coric,AS Roma
Sullay Kaikai,Brentford FC
Jonny Evans,Manchester United
Mark Uth,Borussia Dortmund
Marcel Franke,1.FC Union Berlin
L. Martínez,Atlético Madrid
R. Hernández,Atlético Madrid
D. Sturridge,Newcastle United
Malcom,Manchester United
Leon Bailey,Arsenal FC
Leon Bailey,Chelsea FC
Wilfried Zaha,Chelsea FC
Nordi Mukiele,Manchester City
Sasa Zdjelar,FK Partizan Belgrade
P. Ntep,OGC Nice
Marvin Compper,Celtic FC
Mark Uth,FC Schalke 04
Marko Vesovic,Legia Warszawa
Domagoj Vida,Everton FC
Ante Erceg,Bröndby IF
Milan Badelj,AC Milan
Theo Walcott,Valencia CF
Daley Blind,FC Barcelona
Cenk Tosun,VfB Stuttgart
Lucas,Málaga CF
M. Urruti,Red Star Belgrade
M. Urruti,CD América de Cali
J. Mascherano,Hebei China Fortune
Kyle Scott,Leicester City
Kyle Scott,Huddersfield Town
Dani García,Southampton FC
Liam Moore,West Ham United
Scott McTominay,Leeds United
Jann-Fiete Arp,Tottenham Hotspur
Nadiem Amiri,Manchester United
Leon Bailey,Chelsea FC
João Mário,Manchester United
Á. Henríquez,Atlas Guadalajara
M. Gómez,Beijing Sinobo Guoan
Sergio Romero,Arsenal FC
Danilo,FC Porto
Dani Ceballos,Tottenham Hotspur
Gareth Bale,Tottenham Hotspur
Philipp Max,Manchester United
Diego López,Crystal Palace
Thomas Lemar,Chelsea FC
Gonçalo Guedes,Arsenal FC
Nedum Onuoha,Burnley FC
G. Imbula,Torino FC
M. Romero,PSV Eindhoven
Shihao Wei,Beijing Sinobo Guoan
Alphonso Davies,Manchester United
Richmond Boakye,Stade Rennais FC
Richmond Boakye,Olympique Marseille
G. Imbula,Torino FC
El Fardou Ben,Red Star Belgrade
M. Urruti,Red Star Belgrade
C. Lungoyi,FC Porto
C. Lungoyi,FC Porto
Keylor Navas,Arsenal FC
Luke Shaw,Fenerbahce SK
M. Dembélé,Brighton &amp;amp; Hove Albion
T. Figueiredo,Leeds United
Ben Mee,West Bromwich Albion
Arthur,Chelsea FC
P. Aubameyang,Everton FC
Alex Sandro,Manchester United
A. Traustason,Malmö FF
Jack Hendry,Newcastle United
P. van Aanholt,Everton FC
Danny Rose,FC Barcelona
Jordi Alba,Tottenham Hotspur
Olivier Giroud,AC Milan
M. Elyounoussi,Southampton FC
Vincent Janssen,SSC Napoli
A. Christensen,Inter Milan
João Carvalho,Wolverhampton Wanderers
H. Mkhitaryan,Inter Milan
Gabriel Paletta,US Sassuolo
J. Mascherano,Jiangsu Suning
D. Drexler,Newcastle United
Theo Walcott,Everton FC
Panionios Athens want,re-sign K. Ansarifard
João Mário,Manchester United
Saman Ghoddos,Fulham FC
Saman Ghoddos,Fulham FC
Mehdi Taremi wants,join Caykur Rizespor
Sardar Azmoun,Celtic FC
A. Jahanbakhsh,SSC Napoli
Yerry Mina,West Bromwich Albion
G. Kondogbia,Tottenham Hotspur
Raheem Sterling,Real Madrid
D. Sturridge,Real Betis Balompié
D. Sturridge,Sevilla FC
M. Romero,VfB Stuttgart
Ezequiel Barco,Atlanta United FC
Franco Escobar,Atlanta United FC
Lucas,Beijing Sinobo Guoan
Mohamed Salah,Real Madrid
Mohamed Salah,Real Madrid
Jack Wilshere,Fenerbahce SK
Dani Ceballos,Tottenham Hotspur
Dani Ceballos,Arsenal FC
Steven N'Zonzi,Arsenal FC
Troy Deeney,Everton FC
Manuel Lanzini,Tottenham Hotspur
Bryan Cristante,Manchester United
James Wilson,Aston Villa
Sandro Ramírez,Valencia CF
Danny Ings,West Bromwich Albion
Mesut Özil,Chelsea FC
L. Koscielny,FC Lorient
Milan Skriniar,Manchester City
Richarlison,AC Milan
Giuseppe Rossi,Genoa CFC
Kaká,Guizhou Hengfeng Zhicheng
A. Agouda,Leeds United
Arthur,FC Barcelona
Angel Gomes,Borussia Dortmund
Fedor Smolov,West Ham United
David Luiz,Real Madrid
Jakub Jankto,Arsenal FC
Adam Masina,Tottenham Hotspur
Jack Butland,Chelsea FC
Anthony Martial,Real Madrid
Sime Vrsaljko,SSC Napoli
Ramires,Inter Milan
Luke Shaw,Newcastle United
Cenk Tosun,Tottenham Hotspur
Bernardo Silva,FC Barcelona
K. Richardson,Bolton Wanderers
Odion Ighalo,Stoke City
K. Richardson,Coventry City
Arda Turan,AS Monaco
K. Richardson,Southend United
Joleon Lescott,AFC Telford United
Mathieu Flamini,Real Zaragoza
Kaká,Guizhou Hengfeng Zhicheng
Y. Benalouane,Inter Milan
T. Courtois,Juventus FC
Harry Arter,Crystal Palace
João Mário,Arsenal FC
M. Fellaini,Paris Saint-Germain
M. Fellaini,Paris Saint-Germain
Alexis Sánchez,Real Madrid
Lucas Torreira,Everton FC
L. Martínez,Borussia Dortmund
Javier Pastore,AS Roma
Javier Pastore,Inter Milan
Javier Pastore,Sevilla FC
C. Cásseres,New York Red Bulls
Danilo Pereira,Manchester United
Jack Harrison,Leicester City
Ezri Konsa,Arsenal FC
Ezri Konsa,Everton FC
Dimitri Oberlin,Manchester United
Danny Ward,Sunderland AFC
Gorka Guruzeta,Tottenham Hotspur
Ádám Bogdán,Nottingham Forest
Mesut Özil,FC Schalke 04
Yusuf Yazici,Arsenal FC
Ben Woodburn,Sunderland AFC
Marco Asensio,Chelsea FC
Kevin De Bruyne,Real Madrid
Paulo Dybala,Manchester United
Romain Saïss,Liverpool FC
Romain Saïss,Liverpool FC
David Brooks,Liverpool FC
David Brooks,Tottenham Hotspur
Riyad Mahrez,Manchester City
Alan,Beijing Sinobo Guoan
P. van Aanholt,Manchester City
Bernard,Liverpool FC
Leon Goretzka,Manchester City
Hirving Lozano,Manchester City
K. Arrizabalaga,Chelsea FC
Stefano Sturaro,Everton FC
Sandro Wagner,Bayern Munich
Rafinha,Cruzeiro Esporte Clube
Manuel Lanzini,Atlético Madrid
J. Cillessen,Newcastle United
Hatem Ben Arfa,Leicester City
David Luiz,Manchester United
Oliver Berg,Viking Stavanger
Kara,Liverpool FC
José Giménez,Liverpool FC
Willian,AC Milan
M. Fellaini,Arsenal FC
Kevin Danso,Liverpool FC
Domingos Quina,Manchester United
Angelo Ogbonna,AC Milan
Olivier Giroud,Bayern Munich
Lewis Dunk,West Ham United
Leon Goretzka,Juventus FC
A. Jahanbakhsh,SSC Napoli
André Onana,Borussia Dortmund
A. Griezmann,FC Barcelona
Emre Can,Borussia Dortmund
Breel Embolo,Manchester City
Enzo Díaz,Manchester United
Khouma Babacar,Crystal Palace
Fernando Torres,Newcastle United
Fernando Torres,Southampton FC
M. Halstenberg,Everton FC
Richarlison,Tottenham Hotspur
Mesut Özil,Atlético Madrid
Artem Dovbyk,Celtic FC
J. Mascherano,Liverpool FC
Harry Arter,West Ham United
Kai Havertz,Liverpool FC
K. Arrizabalaga,Real Madrid
Arthur,Manchester United
Mohamed Salah,Atlético Madrid
Lewis Dunk,Everton FC
Jann-Fiete Arp,Chelsea FC
Samuel Umtiti,Manchester United
Stevan Jovetic,Southampton FC
Tolgay Arslan,Tottenham Hotspur
Keylor Navas,Arsenal FC
M. de Ligt,FC Barcelona
Lucas,Chelsea FC
Aarón Caricol,Manchester City
Jonny Evans,Everton FC
Frenkie de Jong,Arsenal FC
David Silva,Liverpool FC
Harry Winks,FC Barcelona
James Maddison,Everton FC
M. Diakhaby,Chelsea FC
Lewis Holtby,Newcastle United
Jack Wilshere,Real Betis Balompié
Danny Ings,Newcastle United
Miguel Almirón,Newcastle United
Luke Shaw,Southampton FC
C. Musonda Jr.,Arsenal FC
Toni Kroos,Manchester United
Toni Kroos,Manchester United
Badou Ndiaye,West Ham United
Islam Slimani,Crystal Palace
Andy Yiadom,West Bromwich Albion
M. Dembélé,Manchester United
Péter Gulácsi,Chelsea FC
Péter Gulácsi,Arsenal FC
Jorginho,Arsenal FC
Louis Moult,Queens Park Rangers
Riyad Mahrez,Olympique Marseille
Michael Carrick,West Bromwich Albion
Julian Brandt,FC Barcelona
Isco,Manchester City
Emerson,Liverpool FC
Diego Lainez,Liverpool FC
Mimoun Mahi,Stoke City
Ciro Immobile,Chelsea FC
A. Griezmann,FC Barcelona
S. Milinkovic-Savic,Manchester City
Danny Ings,Crystal Palace
Iker Casillas,Liverpool FC
Kasper Dolberg,Arsenal FC
Justin Kluivert,Tottenham Hotspur
Kieran Tierney,Tottenham Hotspur
Rolf Feltscher,Cardiff City
Gabriel Jesus,Olympique Lyon
Jadon Sancho,Real Madrid
Julian Draxler,Liverpool FC
Andrei Radu,Red Star Belgrade
Carlos Soler,Manchester United
A. Grimaldo,Manchester United
Casemiro,Manchester United
Yaya Touré,New York City FC
Fabián Ruiz,Stoke City
Mesut Özil,Manchester United
C. Benteke,Chelsea FC
Rúben Vinagre,Everton FC
Julian Weigl,Juventus FC
Brahim Díaz,Inter Milan
Ben Woodburn,FC Barcelona
Conor Hourihane,Brighton &amp;amp; Hove Albion
Charlie Austin,Queens Park Rangers
Abel Ruiz,Arsenal FC
Joe Lewis,Aston Villa
Marcus Rashford,Real Madrid
Danny Ings,Everton FC
Matt Miazga,Ajax Amsterdam
Arturo Vidal,Inter Milan
Arkadiusz Milik,Chievo Verona
Úmaro Embaló,Manchester United
Nauzet Pérez,APOEL Nicosia
Edinson Cavani,Manchester City
André Silva,Arsenal FC
Marcos Alonso,FC Barcelona
N. Maksimovic,Arsenal FC
Callum Brittain,Chelsea FC
Cenk Tosun,Newcastle United
Paco Alcácer,Tottenham Hotspur
Olivier Giroud,Inter Milan
N'Golo Kanté,Paris Saint-Germain
Andros Townsend,Leicester City
Yuto Nagatomo,West Bromwich Albion
Mimoun Mahi,Leeds United
Hirving Lozano,Arsenal FC
Olivier Giroud,Juventus FC
Gary Hooper,Brighton &amp;amp; Hove Albion
Lucas,Arsenal FC
Emre Can,Manchester United
Anthony Martial,Arsenal FC
